[2025-09-21 16:55:49.003] [INFO ] [T019] [FileSyncService] 释放FastCopy并发许可: C1728.MP4
[2025-09-21 16:55:49.003] [INFO ] [T019] [FileSyncService] 文件处理完成，清理锁: C1728.MP4
[2025-09-21 16:55:49.174] [INFO ] [T021] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1733.MP4
[2025-09-21 16:55:49.183] [INFO ] [T021] [FileSyncService] 检测到文件变化，等待写入完成: Ibanez A
[2025-09-21 16:55:49.184] [INFO ] [T021] [FileSyncService] 检测到文件变化，等待写入完成: 右边机位
[2025-09-21 16:55:49.185] [INFO ] [T020] [FileSyncService] 文件已在处理队列中，跳过重复事件: 右边机位
[2025-09-21 16:55:49.194] [INFO ] [T024] [FileSyncService] 检测到文件变化，等待写入完成: C0009.MP4
[2025-09-21 16:55:49.194] [INFO ] [T022] [FileSyncService] 文件已在处理队列中，跳过重复事件: C0009.MP4
[2025-09-21 16:55:49.380] [INFO ] [T024] [FileSyncService] 文件写入已完成，准备同步: C1730.MP4
[2025-09-21 16:55:49.380] [INFO ] [T019] [FileSyncService] 文件写入已完成，准备同步: C1730.MP4
[2025-09-21 16:55:49.381] [INFO ] [T019] [FileSyncService] 获取FastCopy并发许可，开始复制: C1730.MP4
[2025-09-21 16:55:49.381] [INFO ] [T022] [FileSyncService] 获取FastCopy并发许可，开始复制: C1730.MP4
[2025-09-21 16:55:50.443] [INFO ] [T004] [FileSyncService] 文件写入已完成，准备同步: C1731.MP4
[2025-09-21 16:55:50.443] [INFO ] [T020] [FileSyncService] 文件写入已完成，准备同步: C1731.MP4
[2025-09-21 16:55:50.496] [INFO ] [T025] [FileSyncService] 文件已在处理队列中，跳过重复事件: C0009.MP4
[2025-09-21 16:55:50.502] [INFO ] [T019] [FileSyncService] 文件已在处理队列中，跳过重复事件: 右边机位
[2025-09-21 16:55:50.504] [INFO ] [T019] [FileSyncService] 检测到文件变化，等待写入完成: C0010.MP4
[2025-09-21 16:55:50.504] [INFO ] [T025] [FileSyncService] 文件已在处理队列中，跳过重复事件: C0010.MP4
[2025-09-21 16:55:50.737] [INFO ] [T017] [FileSyncService] 释放FastCopy并发许可: C1729.MP4
[2025-09-21 16:55:50.737] [INFO ] [T018] [FileSyncService] 获取FastCopy并发许可，开始复制: C1731.MP4
[2025-09-21 16:55:50.737] [INFO ] [T017] [FileSyncService] 文件处理完成，清理锁: C1729.MP4
[2025-09-21 16:55:50.764] [INFO ] [T018] [FileSyncService] 文件已在处理队列中，跳过重复事件: Ibanez A
[2025-09-21 16:55:56.410] [INFO ] [T024] [FileSyncService] 文件写入已完成，准备同步: C1733.MP4
[2025-09-21 16:55:56.410] [INFO ] [T022] [FileSyncService] 文件写入已完成，准备同步: C1732.MP4
[2025-09-21 16:55:56.410] [INFO ] [T023] [FileSyncService] 文件写入已完成，准备同步: C1732.MP4
[2025-09-21 16:55:56.410] [INFO ] [T019] [FileSyncService] 释放FastCopy并发许可: C1730.MP4
[2025-09-21 16:55:56.410] [INFO ] [T008] [FileSyncService] 释放FastCopy并发许可: C1730.MP4
[2025-09-21 16:55:56.411] [INFO ] [T008] [FileSyncService] 文件处理完成，清理锁: C1730.MP4
[2025-09-21 16:55:56.411] [INFO ] [T024] [FileSyncService] 获取FastCopy并发许可，开始复制: C1733.MP4
[2025-09-21 16:55:56.411] [INFO ] [T007] [FileSyncService] 文件写入已完成，准备同步: C1733.MP4
[2025-09-21 16:55:56.411] [INFO ] [T008] [FileSyncService] 获取FastCopy并发许可，开始复制: C1731.MP4
